Title,Price,Rating,Comment,Color
realme Note 60 4/128 GB,815968,4.9,7,Moviy
Astarry 4Good T803i 16/1 TB,1085988,4.6,10,Oq
Hotwav W11 Global 6/256 GB,3291094,4.7,65,Mis
Honor X6c 6/128 GB,910693,4.9,240,Oq
SHOWJI CN 12/512 GB,857187,4.9,73,Qora mat
Rostest 12/512 GB,2292675,4.7,23,Qora
Xiaomi Redmi Note 13 Pro 8/256 GB,652495,4.9,2687,Qora
Poco 3/64 GB,2694127,4.9,1674,Qora
Honor 400 Lite 8/256 GB,1948619,4.9,475,Yashil
iQOO Z10 Lite 8/256 GB,1389448,5.0,23,Yashil
Xiaomi Redmi 14C 8/256 GB,7380579,4.9,6773,Moviy
realme GT7 12/512 GB,988464,5.0,48,Qora
AG Digital 16/1 TB,1075567,5.0,249,Qora
Rostest 22/2 TB,1141671,4.6,30,Qora
Honor X6c 6/256 GB,1314167,4.9,240,Qora
Zunyi S24 Ultra 16/1 TB,845677,5.0,18,Sariq
EU 12/512 GB,1808787,4.4,447,Qora
Honor X7c 8/256 GB,619520,4.9,730,Yashil
8/512 GB,873363,3.0,2,Qora mat
4Good T803i 12/1 TB,1026260,5.0,14,Yashil
Poco C75 6/128 GB,558081,4.9,15659,Oltin
Tecno SPARK Go 1 3/64 GB,794504,4.9,139,Oltin
Astarry T803i 12/512 GB,1474374,4.8,18,Qora
Poco C75 8/256 GB,966843,4.9,15659,Qora
Astarry T803i EU 16/1 TB,992352,2.3,7,Qora mat
AG Digital 16/1 TB,1363318,5.0,329,Qora
Redmi 13 8/256 GB,971510,3.9,75,Qora
4Good S600m Global 12/512 GB,880051,5.0,10,Shaffof
4Good S500M 16/1 TB,910693,4.9,28,Ochiq ko‘k
Honor X6c 6/128 GB,914270,4.9,240,Moviy
4Good Light A103 CN 12/512 GB,558081,4.7,99,Qora
Tecno SPARK Go 1 3/64 GB,1141671,4.9,570,Qora
Honor X6c 6/256 GB,512041,4.9,240,Moviy
Meizu Mblu 4/64 GB,1075567,4.8,1005,Qora
Rostest 22/2 TB,1372961,4.6,30,Binafsha
Xiaomi Redmi 14C 8/256 GB,1075567,4.9,15171,Binafsha
Xiaomi Redmi Note 13 Pro 8/256 GB (takroriy),652495,4.9,2687,Qora
Poco C75 6/128 GB (takroriy),558081,4.9,15659,Oltin
Honor X6c 6/128 GB (takroriy),910693,4.9,240,Oq
AG Digital 16/1 TB (takroriy),1075567,5.0,249,Qora
Redmi 13 8/256 GB (takroriy),971510,3.9,75,Qora
Tecno SPARK Go 1 3/64 GB (takroriy),794504,4.9,139,Oltin
Poco C75 8/256 GB (takroriy),966843,4.9,15659,Qora
Honor X7c 8/256 GB (takroriy),619520,4.9,730,Yashil
Xiaomi Redmi 14C 8/256 GB (takroriy),7380579,4.9,6773,Moviy
Meizu Mblu 4/64 GB (takroriy),1075567,4.8,1005,Qora
Rostest 12/512 GB (takroriy),2292675,4.7,23,Qora
Zunyi S24 Ultra 16/1 TB (takroriy),845677,5.0,18,Sariq
