Title,Price,Rating,Comment,Color
TECNO POP 4 BC2C 2/32GB,1290000,3.8,8.0,No color
Xiaomi POCO X5 PRO 5G 8/256GB,4278000,4.9,67.0,No color
Honor X7 4/128 GB Ocean Blue,1699000,4.4,7.0,Ocean Blue
TECNO Pova 4 8/128 GB,2584050,4.7,7.0,No color
TCL 40R 5G 4/128 GB Starlight Black,2295000,4.3,6.0,Starlight Black
Realme C35 4/128GB,2214900,4.4,10.0,No color
Tecno Camon 19 Neo 6/128GB Eco Black,2276430,5.0,4.0,Eco Black
DOOGEE X98 Pro 4GB/64GB,999000,3.3,3.0,No color
Samsung Galaxy S22 Ultra 8/256 GB,17926000,5.0,1.0,"Yashil, Oq, Qora, Bordo"
Tecno Camon 19 6/128 GB Sea Salt White,2439600,5.0,1.0,Sea Salt White
Infinix HOT 30 8/256 GB,2029000,5.0,4.0,No color
Redmi Note 14 Pro+ 5G,5720000,5.0,1.0,No color
Xiaomi Redmi 14C 6/128 GB,1750000,4.8,118.0,No color
TECNO CAMON 30S 8/256GB,2641000,2.502083333333333,0.0,No color
Coco Corn Ultra 10 Android 14,1299000,5.0,1.0,No color
Samsung Galaxy A06,10000000,2.502083333333333,0.0,No color
Honor X8c 8/256 GB,2907000,4.5,4.0,No color
Huawei Pura 70 12/256 GB,8799000,2.502083333333333,0.0,No color
W&O X 16 8/128 GB,1199000,3.5,299.0,No color
Samsung Galaxy A35 5G,4899000,2.502083333333333,0.0,No color
Infinix Smart 9 4+4/128 GB,1399000,2.502083333333333,0.0,No color
Redmi Note 14 Global 8/256GB,2395000,4.8,118.0,No color
Tecno SPARK 30C 6/128 GB,2065000,2.502083333333333,0.0,No color
Tecno SPARK 30C 8/256 GB,2335000,2.502083333333333,0.0,No color
Xiaomi Redmi 14c 4/6/128GB,1580000,4.8,53.0,No color
Redmi Note 14S 8/256GB,2979000,4.8,21.0,No color
Honor X9c 5G,4268000,4.5,4.0,No color
Honor X9C Smart 8/256 GB,5890000,2.502083333333333,0.0,No color
Honor X8b 8+256GB,3299000,2.502083333333333,0.0,No color
M-Horse S24 Ultra 3+5+128 GB,1292000,4.5,4.0,No color
Honor x5b Plus 4/128 GB,1479900,4.8,18.0,No color
Samsung Galaxy A55,6499900,2.502083333333333,0.0,No color
Xiaomi Poco X7 5G,3649000,2.502083333333333,0.0,No color
TCL 20Y 6156D 4/64 GB Jewelry Black,999000,2.502083333333333,0.0,Jewelry Black
Samsung Galaxy S22 Ultra 12/512 GB,17926000,2.502083333333333,0.0,Bordo
Samsung Galaxy S22 Ultra 8/128 GB,17926000,2.502083333333333,0.0,Oq
Samsung Galaxy S22 Ultra 8/256 GB,17926000,2.502083333333333,0.0,Qora
Samsung Galaxy S22 Ultra 8/256 GB,17926000,2.502083333333333,0.0,Bordo
Redmi Note 14 Yangilik,2500000,2.502083333333333,0.0,No color
Samsung Galaxy A16,2350000,2.502083333333333,0.0,No color
Infinix SMART 9 4+128 GB,1269000,2.502083333333333,0.0,No color
Honor X8c (takroriy),2907000,4.5,4.0,No color
Huawei Pura 70 (takroriy),8799000,2.502083333333333,0.0,No color
Honor X8b (takroriy),3299000,2.502083333333333,0.0,No color
Honor X9C Smart (takroriy),5890000,2.502083333333333,0.0,No color
Xiaomi Redmi 14C (takroriy),1750000,4.8,118.0,No color
Redmi Note 14 Pro+ 5G (takroriy),5720000,5.0,1.0,No color
Tecno Camon 19 Neo (takroriy),2276430,5.0,4.0,Eco Black
